departure_terminal,arrival_terminal,vessel_name,scheduled_departure_year,scheduled_departure_month,scheduled_departure_day,scheduled_departure_hour,scheduled_departure_minute,actual_departure_year,actual_departure_month,actual_departure_day,actual_departure_hour,actual_departure_minute,arrival_year,arrival_month,arrival_day,arrival_hour,arrival_minute
Tsawwassen,Swartz Bay,Coastal Renaissance,2017,02,01,07,00,2017,02,01,07,05,2017,02,01,08,30
Tsawwassen,Swartz Bay,Coastal Celebration,2017,02,01,09,00,2017,02,01,09,01,2017,02,01,10,32
Tsawwassen,Swartz Bay,Coastal Renaissance,2017,02,01,11,00,2017,02,01,11,00,2017,02,01,12,32
Tsawwassen,Swartz Bay,Coastal Celebration,2017,02,01,13,00,2017,02,01,13,04,2017,02,01,14,30
Tsawwassen,Swartz Bay,Coastal Renaissance,2017,02,01,15,00,2017,02,01,15,02,2017,02,01,16,28
Tsawwassen,Swartz Bay,Coastal Celebration,2017,02,01,17,00,2017,02,01,16,59,2017,02,01,18,32
Tsawwassen,Swartz Bay,Coastal Renaissance,2017,02,01,19,00,2017,02,01,19,00,2017,02,01,20,32
Tsawwassen,Swartz Bay,Coastal Celebration,2017,02,01,21,00,2017,02,01,21,02,2017,02,01,22,24
Swartz Bay,Tsawwassen,Coastal Celebration,2017,02,01,07,00,2017,02,01,07,02,2017,02,01,08,30
Swartz Bay,Tsawwassen,Coastal Renaissance,2017,02,01,09,00,2017,02,01,09,00,2017,02,01,10,30
Swartz Bay,Tsawwassen,Coastal Celebration,2017,02,01,11,00,2017,02,01,11,02,2017,02,01,12,34
Swartz Bay,Tsawwassen,Coastal Renaissance,2017,02,01,13,00,2017,02,01,13,03,2017,02,01,14,30
Swartz Bay,Tsawwassen,Coastal Celebration,2017,02,01,15,00,2017,02,01,15,04,2017,02,01,16,32
Swartz Bay,Tsawwassen,Coastal Renaissance,2017,02,01,17,00,2017,02,01,17,11,2017,02,01,18,34
Swartz Bay,Tsawwassen,Coastal Celebration,2017,02,01,19,00,2017,02,01,19,01,2017,02,01,20,34
Swartz Bay,Tsawwassen,Coastal Renaissance,2017,02,01,21,00,2017,02,01,21,01,2017,02,01,22,28
Tsawwassen,Swartz Bay,Coastal Renaissance,2017,02,02,07,00,2017,02,02,07,04,2017,02,02,08,32
Tsawwassen,Swartz Bay,Coastal Celebration,2017,02,02,09,00,2017,02,02,09,03,2017,02,02,10,30
Tsawwassen,Swartz Bay,Coastal Renaissance,2017,02,02,11,00,2017,02,02,11,02,2017,02,02,12,34
Tsawwassen,Swartz Bay,Coastal Celebration,2017,02,02,13,00,2017,02,02,13,07,2017,02,02,14,36
Tsawwassen,Swartz Bay,Coastal Renaissance,2017,02,02,15,00,2017,02,02,15,12,2017,02,02,16,38
Tsawwassen,Swartz Bay,Coastal Celebration,2017,02,02,17,00,2017,02,02,17,13,2017,02,02,18,42
Tsawwassen,Swartz Bay,Coastal Renaissance,2017,02,02,19,00,2017,02,02,19,03,2017,02,02,20,28
Tsawwassen,Swartz Bay,Coastal Celebration,2017,02,02,21,00,2017,02,02,21,09,2017,02,02,22,32
Swartz Bay,Tsawwassen,Coastal Celebration,2017,02,02,07,00,2017,02,02,07,04,2017,02,02,08,32
Swartz Bay,Tsawwassen,Coastal Renaissance,2017,02,02,09,00,2017,02,02,09,03,2017,02,02,10,30
Swartz Bay,Tsawwassen,Coastal Celebration,2017,02,02,11,00,2017,02,02,11,05,2017,02,02,12,36
Swartz Bay,Tsawwassen,Coastal Renaissance,2017,02,02,13,00,2017,02,02,13,12,2017,02,02,14,36
Swartz Bay,Tsawwassen,Coastal Celebration,2017,02,02,15,00,2017,02,02,15,15,2017,02,02,16,38
Swartz Bay,Tsawwassen,Coastal Renaissance,2017,02,02,17,00,2017,02,02,17,13,2017,02,02,18,34
Swartz Bay,Tsawwassen,Coastal Celebration,2017,02,02,19,00,2017,02,02,19,18,2017,02,02,20,46
Swartz Bay,Tsawwassen,Coastal Renaissance,2017,02,02,21,00,2017,02,02,21,01,2017,02,02,22,30
Tsawwassen,Swartz Bay,Coastal Renaissance,2017,02,03,07,00,2017,02,03,07,03,2017,02,03,08,30
Tsawwassen,Swartz Bay,Coastal Celebration,2017,02,03,09,00,2017,02,03,09,02,2017,02,03,10,32
Tsawwassen,Swartz Bay,Spirit of British Columbia,2017,02,03,10,00,2017,02,03,10,13,2017,02,03,11,42
Tsawwassen,Swartz Bay,Coastal Renaissance,2017,02,03,11,00,2017,02,03,11,03,2017,02,03,12,30
Tsawwassen,Swartz Bay,Coastal Celebration,2017,02,03,13,00,2017,02,03,13,09,2017,02,03,14,30
Tsawwassen,Swartz Bay,Spirit of British Columbia,2017,02,03,14,00,2017,02,03,13,59,2017,02,03,15,28
Tsawwassen,Swartz Bay,Coastal Renaissance,2017,02,03,15,00,2017,02,03,15,00,2017,02,03,16,26
Tsawwassen,Swartz Bay,Coastal Celebration,2017,02,03,17,00,2017,02,03,17,04,2017,02,03,18,28
Tsawwassen,Swartz Bay,Spirit of British Columbia,2017,02,03,18,00,2017,02,03,18,01,2017,02,03,19,32
Tsawwassen,Swartz Bay,Coastal Renaissance,2017,02,03,19,00,2017,02,03,19,00,2017,02,03,20,34
Tsawwassen,Swartz Bay,Coastal Celebration,2017,02,03,21,00,2017,02,03,21,03,2017,02,03,22,26
Swartz Bay,Tsawwassen,Coastal Celebration,2017,02,03,07,00,2017,02,03,07,03,2017,02,03,08,30
Swartz Bay,Tsawwassen,Coastal Renaissance,2017,02,03,09,00,2017,02,03,09,07,2017,02,03,10,36
Swartz Bay,Tsawwassen,Coastal Celebration,2017,02,03,11,00,2017,02,03,11,10,2017,02,03,12,38
Swartz Bay,Tsawwassen,Spirit of British Columbia,2017,02,03,12,00,2017,02,03,12,04,2017,02,03,13,34
Swartz Bay,Tsawwassen,Coastal Renaissance,2017,02,03,13,00,2017,02,03,13,02,2017,02,03,14,30
Swartz Bay,Tsawwassen,Coastal Celebration,2017,02,03,15,00,2017,02,03,15,05,2017,02,03,16,30
Swartz Bay,Tsawwassen,Spirit of British Columbia,2017,02,03,16,00,2017,02,03,16,00,2017,02,03,17,30
Swartz Bay,Tsawwassen,Coastal Renaissance,2017,02,03,17,00,2017,02,03,17,01,2017,02,03,18,28
Swartz Bay,Tsawwassen,Coastal Celebration,2017,02,03,19,00,2017,02,03,19,03,2017,02,03,20,30
Swartz Bay,Tsawwassen,Coastal Renaissance,2017,02,03,21,00,2017,02,03,21,00,2017,02,03,22,28
Tsawwassen,Swartz Bay,Coastal Renaissance,2017,02,04,07,00,2017,02,04,06,59,2017,02,04,08,32
Tsawwassen,Swartz Bay,Coastal Celebration,2017,02,04,09,00,2017,02,04,09,02,2017,02,04,10,34
Tsawwassen,Swartz Bay,Coastal Renaissance,2017,02,04,11,00,2017,02,04,11,00,2017,02,04,12,32
Tsawwassen,Swartz Bay,Coastal Celebration,2017,02,04,13,00,2017,02,04,13,02,2017,02,04,14,34
Tsawwassen,Swartz Bay,Coastal Renaissance,2017,02,04,15,00,2017,02,04,15,01,2017,02,04,16,30
Tsawwassen,Swartz Bay,Coastal Celebration,2017,02,04,17,00,2017,02,04,17,00,2017,02,04,18,32
Tsawwassen,Swartz Bay,Coastal Renaissance,2017,02,04,19,00,2017,02,04,19,00,2017,02,04,20,32
Tsawwassen,Swartz Bay,Coastal Celebration,2017,02,04,21,00,2017,02,04,20,59,2017,02,04,22,26
Swartz Bay,Tsawwassen,Coastal Celebration,2017,02,04,07,00,2017,02,04,07,02,2017,02,04,08,30
Swartz Bay,Tsawwassen,Coastal Renaissance,2017,02,04,09,00,2017,02,04,09,00,2017,02,04,10,28
Swartz Bay,Tsawwassen,Coastal Celebration,2017,02,04,11,00,2017,02,04,11,05,2017,02,04,12,32
Swartz Bay,Tsawwassen,Coastal Renaissance,2017,02,04,13,00,2017,02,04,13,02,2017,02,04,14,30
Swartz Bay,Tsawwassen,Coastal Celebration,2017,02,04,15,00,2017,02,04,15,06,2017,02,04,16,32
Swartz Bay,Tsawwassen,Coastal Renaissance,2017,02,04,17,00,2017,02,04,17,02,2017,02,04,18,30
Swartz Bay,Tsawwassen,Coastal Celebration,2017,02,04,19,00,2017,02,04,19,01,2017,02,04,20,32
Swartz Bay,Tsawwassen,Coastal Renaissance,2017,02,04,21,00,2017,02,04,21,00,2017,02,04,22,20
Tsawwassen,Swartz Bay,Coastal Renaissance,2017,02,05,07,00,2017,02,05,07,04,2017,02,05,08,40
Tsawwassen,Swartz Bay,Coastal Celebration,2017,02,05,09,00,2017,02,05,09,01,2017,02,05,10,34
Tsawwassen,Swartz Bay,Spirit of British Columbia,2017,02,05,10,00,2017,02,05,10,00,2017,02,05,11,30
Tsawwassen,Swartz Bay,Coastal Renaissance,2017,02,05,11,00,2017,02,05,11,10,2017,02,05,12,30
Tsawwassen,Swartz Bay,Coastal Celebration,2017,02,05,13,00,2017,02,05,13,32,2017,02,05,14,52
Tsawwassen,Swartz Bay,Spirit of British Columbia,2017,02,05,14,00,2017,02,05,14,02,2017,02,05,15,30
Tsawwassen,Swartz Bay,Coastal Renaissance,2017,02,05,15,00,2017,02,05,15,02,2017,02,05,16,28
Tsawwassen,Swartz Bay,Coastal Celebration,2017,02,05,17,00,2017,02,05,17,16,2017,02,05,18,38
Tsawwassen,Swartz Bay,Spirit of British Columbia,2017,02,05,18,00,2017,02,05,17,59,2017,02,05,19,28
Tsawwassen,Swartz Bay,Coastal Renaissance,2017,02,05,19,00,2017,02,05,19,00,2017,02,05,20,32
Tsawwassen,Swartz Bay,Coastal Celebration,2017,02,05,21,00,2017,02,05,20,59,2017,02,05,22,24
Swartz Bay,Tsawwassen,Coastal Celebration,2017,02,05,07,00,2017,02,05,07,07,2017,02,05,08,34
Swartz Bay,Tsawwassen,Coastal Renaissance,2017,02,05,09,00,2017,02,05,08,59,2017,02,05,10,30
Swartz Bay,Tsawwassen,Coastal Celebration,2017,02,05,11,00,2017,02,05,11,03,2017,02,05,12,34
Swartz Bay,Tsawwassen,Spirit of British Columbia,2017,02,05,12,00,2017,02,05,12,00,2017,02,05,13,28
Swartz Bay,Tsawwassen,Coastal Renaissance,2017,02,05,13,00,2017,02,05,13,01,2017,02,05,14,28
Swartz Bay,Tsawwassen,Coastal Celebration,2017,02,05,15,00,2017,02,05,15,27,2017,02,05,16,50
Swartz Bay,Tsawwassen,Spirit of British Columbia,2017,02,05,16,00,2017,02,05,15,58,2017,02,05,17,30
Swartz Bay,Tsawwassen,Coastal Renaissance,2017,02,05,17,00,2017,02,05,17,03,2017,02,05,18,28
Swartz Bay,Tsawwassen,Coastal Celebration,2017,02,05,19,00,2017,02,05,19,04,2017,02,05,20,32
Swartz Bay,Tsawwassen,Coastal Renaissance,2017,02,05,21,00,2017,02,05,21,00,2017,02,05,22,26
Tsawwassen,Swartz Bay,Coastal Renaissance,2017,02,06,07,00,2017,02,06,07,05,2017,02,06,08,32
Tsawwassen,Swartz Bay,Coastal Celebration,2017,02,06,09,00,2017,02,06,09,00,2017,02,06,10,34
Tsawwassen,Swartz Bay,Coastal Renaissance,2017,02,06,11,00,2017,02,06,11,01,2017,02,06,12,32
Tsawwassen,Swartz Bay,Coastal Celebration,2017,02,06,13,00,2017,02,06,13,08,2017,02,06,14,34
Tsawwassen,Swartz Bay,Coastal Renaissance,2017,02,06,15,00,2017,02,06,15,02,2017,02,06,16,32
Tsawwassen,Swartz Bay,Coastal Celebration,2017,02,06,17,00,2017,02,06,17,03,2017,02,06,18,30
Tsawwassen,Swartz Bay,Coastal Renaissance,2017,02,06,19,00,2017,02,06,19,02,2017,02,06,20,32
Tsawwassen,Swartz Bay,Coastal Celebration,2017,02,06,21,00,2017,02,06,21,03,2017,02,06,22,30
Swartz Bay,Tsawwassen,Coastal Celebration,2017,02,06,07,00,2017,02,06,07,04,2017,02,06,08,32
Swartz Bay,Tsawwassen,Coastal Renaissance,2017,02,06,09,00,2017,02,06,09,03,2017,02,06,10,32
Swartz Bay,Tsawwassen,Coastal Celebration,2017,02,06,11,00,2017,02,06,11,03,2017,02,06,12,32
Swartz Bay,Tsawwassen,Coastal Renaissance,2017,02,06,13,00,2017,02,06,13,03,2017,02,06,14,30
Swartz Bay,Tsawwassen,Coastal Celebration,2017,02,06,15,00,2017,02,06,15,07,2017,02,06,16,34
Swartz Bay,Tsawwassen,Coastal Renaissance,2017,02,06,17,00,2017,02,06,17,04,2017,02,06,18,32
Swartz Bay,Tsawwassen,Coastal Celebration,2017,02,06,19,00,2017,02,06,19,05,2017,02,06,20,34
Swartz Bay,Tsawwassen,Coastal Renaissance,2017,02,06,21,00,2017,02,06,21,03,2017,02,06,22,24
Tsawwassen,Swartz Bay,Coastal Renaissance,2017,02,07,07,00,2017,02,07,07,04,2017,02,07,08,30
Tsawwassen,Swartz Bay,Coastal Celebration,2017,02,07,09,00,2017,02,07,09,00,2017,02,07,10,34
Tsawwassen,Swartz Bay,Coastal Renaissance,2017,02,07,11,00,2017,02,07,10,59,2017,02,07,12,30
Tsawwassen,Swartz Bay,Coastal Celebration,2017,02,07,13,00,2017,02,07,13,00,2017,02,07,14,34
Tsawwassen,Swartz Bay,Coastal Renaissance,2017,02,07,15,00,2017,02,07,15,00,2017,02,07,16,26
Tsawwassen,Swartz Bay,Coastal Celebration,2017,02,07,17,00,2017,02,07,17,06,2017,02,07,18,30
Tsawwassen,Swartz Bay,Coastal Renaissance,2017,02,07,19,00,2017,02,07,19,00,2017,02,07,20,32
Swartz Bay,Tsawwassen,Coastal Celebration,2017,02,07,07,00,2017,02,07,07,03,2017,02,07,08,34
Swartz Bay,Tsawwassen,Coastal Renaissance,2017,02,07,09,00,2017,02,07,09,00,2017,02,07,10,30
Swartz Bay,Tsawwassen,Coastal Celebration,2017,02,07,11,00,2017,02,07,11,04,2017,02,07,12,34
Swartz Bay,Tsawwassen,Coastal Renaissance,2017,02,07,13,00,2017,02,07,13,02,2017,02,07,14,28
Swartz Bay,Tsawwassen,Coastal Celebration,2017,02,07,15,00,2017,02,07,15,15,2017,02,07,16,38
Swartz Bay,Tsawwassen,Coastal Renaissance,2017,02,07,17,00,2017,02,07,17,00,2017,02,07,18,34
Swartz Bay,Tsawwassen,Coastal Celebration,2017,02,07,19,00,2017,02,07,19,01,2017,02,07,20,32
Swartz Bay,Tsawwassen,Coastal Renaissance,2017,02,07,21,00,2017,02,07,21,01,2017,02,07,22,26
Tsawwassen,Swartz Bay,Coastal Renaissance,2017,02,08,07,00,2017,02,08,07,03,2017,02,08,08,30
Tsawwassen,Swartz Bay,Coastal Celebration,2017,02,08,09,00,2017,02,08,08,59,2017,02,08,10,30
Tsawwassen,Swartz Bay,Coastal Renaissance,2017,02,08,11,00,2017,02,08,11,00,2017,02,08,12,32
Tsawwassen,Swartz Bay,Coastal Celebration,2017,02,08,13,00,2017,02,08,13,07,2017,02,08,14,32
Tsawwassen,Swartz Bay,Coastal Renaissance,2017,02,08,15,00,2017,02,08,15,00,2017,02,08,16,32
Tsawwassen,Swartz Bay,Coastal Celebration,2017,02,08,17,00,2017,02,08,17,03,2017,02,08,18,32
Tsawwassen,Swartz Bay,Coastal Renaissance,2017,02,08,19,00,2017,02,08,19,15,2017,02,08,20,34
Tsawwassen,Swartz Bay,Coastal Celebration,2017,02,08,21,00,2017,02,08,21,03,2017,02,08,22,30
Swartz Bay,Tsawwassen,Coastal Celebration,2017,02,08,07,00,2017,02,08,07,01,2017,02,08,08,30
Swartz Bay,Tsawwassen,Coastal Renaissance,2017,02,08,09,00,2017,02,08,09,01,2017,02,08,10,32
Swartz Bay,Tsawwassen,Coastal Celebration,2017,02,08,11,00,2017,02,08,11,01,2017,02,08,12,34
Swartz Bay,Tsawwassen,Coastal Renaissance,2017,02,08,13,00,2017,02,08,13,03,2017,02,08,14,32
Swartz Bay,Tsawwassen,Coastal Celebration,2017,02,08,15,00,2017,02,08,15,08,2017,02,08,16,34
Swartz Bay,Tsawwassen,Coastal Renaissance,2017,02,08,17,00,2017,02,08,17,21,2017,02,08,18,50
Swartz Bay,Tsawwassen,Coastal Celebration,2017,02,08,19,00,2017,02,08,19,04,2017,02,08,20,38
Swartz Bay,Tsawwassen,Coastal Renaissance,2017,02,08,21,00,2017,02,08,21,01,2017,02,08,22,32
Tsawwassen,Swartz Bay,Coastal Renaissance,2017,02,09,07,00,2017,02,09,07,06,2017,02,09,08,32
Tsawwassen,Swartz Bay,Coastal Celebration,2017,02,09,09,00,2017,02,09,09,00,2017,02,09,10,36
Tsawwassen,Swartz Bay,Coastal Renaissance,2017,02,09,11,00,2017,02,09,11,00,2017,02,09,12,30
Tsawwassen,Swartz Bay,Coastal Celebration,2017,02,09,13,00,2017,02,09,13,03,2017,02,09,14,30
Tsawwassen,Swartz Bay,Coastal Renaissance,2017,02,09,15,00,2017,02,09,15,02,2017,02,09,16,32
Tsawwassen,Swartz Bay,Coastal Celebration,2017,02,09,17,00,2017,02,09,17,00,2017,02,09,18,32
Tsawwassen,Swartz Bay,Coastal Renaissance,2017,02,09,19,00,2017,02,09,19,00,2017,02,09,20,34
Tsawwassen,Swartz Bay,Coastal Celebration,2017,02,09,21,00,2017,02,09,21,02,2017,02,09,22,38
Swartz Bay,Tsawwassen,Coastal Celebration,2017,02,09,07,00,2017,02,09,07,02,2017,02,09,08,32
Swartz Bay,Tsawwassen,Coastal Renaissance,2017,02,09,09,00,2017,02,09,09,01,2017,02,09,10,30
Swartz Bay,Tsawwassen,Coastal Celebration,2017,02,09,11,00,2017,02,09,11,07,2017,02,09,12,34
Swartz Bay,Tsawwassen,Coastal Renaissance,2017,02,09,13,00,2017,02,09,13,02,2017,02,09,14,28
Swartz Bay,Tsawwassen,Coastal Celebration,2017,02,09,15,00,2017,02,09,15,06,2017,02,09,16,30
Swartz Bay,Tsawwassen,Coastal Renaissance,2017,02,09,17,00,2017,02,09,17,09,2017,02,09,18,36
Swartz Bay,Tsawwassen,Coastal Celebration,2017,02,09,19,00,2017,02,09,19,03,2017,02,09,20,34
Swartz Bay,Tsawwassen,Coastal Renaissance,2017,02,09,21,00,2017,02,09,21,01,2017,02,09,22,40
Tsawwassen,Swartz Bay,Spirit of British Columbia,2017,02,10,07,00,2017,02,10,07,00,2017,02,10,08,30
Tsawwassen,Swartz Bay,Coastal Celebration,2017,02,10,09,00,2017,02,10,09,02,2017,02,10,10,36
Tsawwassen,Swartz Bay,Coastal Renaissance,2017,02,10,10,00,2017,02,10,10,04,2017,02,10,11,34
Tsawwassen,Swartz Bay,Spirit of British Columbia,2017,02,10,11,00,2017,02,10,11,02,2017,02,10,12,36
Tsawwassen,Swartz Bay,Coastal Celebration,2017,02,10,13,00,2017,02,10,13,09,2017,02,10,14,40
Tsawwassen,Swartz Bay,Coastal Renaissance,2017,02,10,14,00,2017,02,10,14,00,2017,02,10,15,34
Tsawwassen,Swartz Bay,Spirit of British Columbia,2017,02,10,15,00,2017,02,10,15,00,2017,02,10,16,34
Tsawwassen,Swartz Bay,Coastal Celebration,2017,02,10,17,00,2017,02,10,17,24,2017,02,10,18,50
Tsawwassen,Swartz Bay,Coastal Renaissance,2017,02,10,18,00,2017,02,10,18,09,2017,02,10,19,42
Tsawwassen,Swartz Bay,Spirit of British Columbia,2017,02,10,19,00,2017,02,10,19,06,2017,02,10,20,40
