departure_terminal,arrival_terminal,vessel_name,scheduled_departure_year,scheduled_departure_month,scheduled_departure_day,scheduled_departure_hour,scheduled_departure_minute,actual_departure_year,actual_departure_month,actual_departure_day,actual_departure_hour,actual_departure_minute,arrival_year,arrival_month,arrival_day,arrival_hour,arrival_minute
Tsawwassen,Swartz Bay,Queen of New Westminster,2017,7,1,6,0,2017,7,1,6,7,2017,7,1,7,34
Tsawwassen,Swartz Bay,Spirit of British Columbia,2017,7,1,7,0,2017,7,1,7,1,2017,7,1,8,30
Tsawwassen,Swartz Bay,Coastal Celebration,2017,7,1,8,0,2017,7,1,8,9,2017,7,1,9,34
Tsawwassen,Swartz Bay,Spirit of Vancouver Island,2017,7,1,9,0,2017,7,1,9,1,2017,7,1,10,36
Tsawwassen,Swartz Bay,Queen of New Westminster,2017,7,1,10,0,2017,7,1,10,2,2017,7,1,11,32
Tsawwassen,Swartz Bay,Spirit of British Columbia,2017,7,1,11,0,2017,7,1,11,5,2017,7,1,12,36
Tsawwassen,Swartz Bay,Queen of New Westminster,2017,7,1,14,0,2017,7,1,14,3,2017,7,1,15,30
Tsawwassen,Swartz Bay,Spirit of British Columbia,2017,7,1,15,0,2017,7,1,15,1,2017,7,1,16,30
Tsawwassen,Swartz Bay,Coastal Celebration,2017,7,1,16,0,2017,7,1,16,2,2017,7,1,17,32
Tsawwassen,Swartz Bay,Spirit of Vancouver Island,2017,7,1,17,0,2017,7,1,17,1,2017,7,1,18,30
Tsawwassen,Swartz Bay,Queen of New Westminster,2017,7,1,18,0,2017,7,1,18,0,2017,7,1,19,30
Tsawwassen,Swartz Bay,Spirit of British Columbia,2017,7,1,19,0,2017,7,1,19,25,2017,7,1,20,52
Tsawwassen,Swartz Bay,Coastal Celebration,2017,7,1,20,0,2017,7,1,20,2,2017,7,1,21,24
Tsawwassen,Swartz Bay,Spirit of Vancouver Island,2017,7,1,21,0,2017,7,1,21,1,2017,7,1,22,32
Swartz Bay,Tsawwassen,Coastal Celebration,2017,7,1,6,0,2017,7,1,6,3,2017,7,1,7,38
Swartz Bay,Tsawwassen,Spirit of Vancouver Island,2017,7,1,7,0,2017,7,1,7,1,2017,7,1,8,32
Swartz Bay,Tsawwassen,Queen of New Westminster,2017,7,1,8,0,2017,7,1,8,5,2017,7,1,9,30
Swartz Bay,Tsawwassen,Spirit of British Columbia,2017,7,1,9,0,2017,7,1,9,0,2017,7,1,10,32
Swartz Bay,Tsawwassen,Coastal Celebration,2017,7,1,10,0,2017,7,1,10,3,2017,7,1,11,32
Swartz Bay,Tsawwassen,Spirit of Vancouver Island,2017,7,1,11,0,2017,7,1,11,0,2017,7,1,12,32
Swartz Bay,Tsawwassen,Queen of New Westminster,2017,7,1,12,0,2017,7,1,12,2,2017,7,1,13,30
Swartz Bay,Tsawwassen,Spirit of British Columbia,2017,7,1,13,0,2017,7,1,13,1,2017,7,1,14,28
Swartz Bay,Tsawwassen,Coastal Celebration,2017,7,1,14,0,2017,7,1,14,2,2017,7,1,15,36
Swartz Bay,Tsawwassen,Spirit of Vancouver Island,2017,7,1,15,0,2017,7,1,15,0,2017,7,1,16,30
Swartz Bay,Tsawwassen,Queen of New Westminster,2017,7,1,16,0,2017,7,1,15,59,2017,7,1,17,32
Swartz Bay,Tsawwassen,Spirit of British Columbia,2017,7,1,17,0,2017,7,1,17,1,2017,7,1,18,30
Swartz Bay,Tsawwassen,Coastal Celebration,2017,7,1,18,0,2017,7,1,18,2,2017,7,1,19,40
Swartz Bay,Tsawwassen,Spirit of Vancouver Island,2017,7,1,19,0,2017,7,1,18,59,2017,7,1,20,26
Swartz Bay,Tsawwassen,Queen of New Westminster,2017,7,1,20,0,2017,7,1,19,59,2017,7,1,21,20
Swartz Bay,Tsawwassen,Spirit of British Columbia,2017,7,1,21,0,2017,7,1,21,11,2017,7,1,22,38
Tsawwassen,Swartz Bay,Spirit of British Columbia,2017,7,2,7,0,2017,7,2,7,2,2017,7,2,8,32
Tsawwassen,Swartz Bay,Queen of New Westminster,2017,7,2,8,0,2017,7,2,8,2,2017,7,2,9,32
Tsawwassen,Swartz Bay,Spirit of Vancouver Island,2017,7,2,9,0,2017,7,2,9,1,2017,7,2,10,30
Tsawwassen,Swartz Bay,Coastal Celebration,2017,7,2,10,0,2017,7,2,10,5,2017,7,2,11,36
Tsawwassen,Swartz Bay,Spirit of British Columbia,2017,7,2,11,0,2017,7,2,10,56,2017,7,2,12,30
Tsawwassen,Swartz Bay,Queen of New Westminster,2017,7,2,12,0,2017,7,2,12,4,2017,7,2,13,32
Tsawwassen,Swartz Bay,Spirit of Vancouver Island,2017,7,2,13,0,2017,7,2,12,58,2017,7,2,14,28
Tsawwassen,Swartz Bay,Coastal Celebration,2017,7,2,14,0,2017,7,2,14,3,2017,7,2,15,30
Tsawwassen,Swartz Bay,Spirit of British Columbia,2017,7,2,15,0,2017,7,2,15,0,2017,7,2,16,30
Tsawwassen,Swartz Bay,Queen of New Westminster,2017,7,2,16,0,2017,7,2,16,2,2017,7,2,17,28
Tsawwassen,Swartz Bay,Spirit of Vancouver Island,2017,7,2,17,0,2017,7,2,17,2,2017,7,2,18,32
Tsawwassen,Swartz Bay,Coastal Celebration,2017,7,2,18,0,2017,7,2,18,2,2017,7,2,19,38
Tsawwassen,Swartz Bay,Spirit of British Columbia,2017,7,2,19,0,2017,7,2,19,0,2017,7,2,20,32
Tsawwassen,Swartz Bay,Spirit of Vancouver Island,2017,7,2,21,0,2017,7,2,21,2,2017,7,2,22,32
Swartz Bay,Tsawwassen,Spirit of Vancouver Island,2017,7,2,7,0,2017,7,2,7,6,2017,7,2,8,30
Swartz Bay,Tsawwassen,Coastal Celebration,2017,7,2,8,0,2017,7,2,8,2,2017,7,2,9,34
Swartz Bay,Tsawwassen,Spirit of British Columbia,2017,7,2,9,0,2017,7,2,9,0,2017,7,2,10,26
Swartz Bay,Tsawwassen,Queen of New Westminster,2017,7,2,10,0,2017,7,2,10,7,2017,7,2,11,30
Swartz Bay,Tsawwassen,Spirit of Vancouver Island,2017,7,2,11,0,2017,7,2,11,3,2017,7,2,12,25
Swartz Bay,Tsawwassen,Coastal Celebration,2017,7,2,12,0,2017,7,2,12,8,2017,7,2,13,32
Swartz Bay,Tsawwassen,Spirit of British Columbia,2017,7,2,13,0,2017,7,2,13,1,2017,7,2,14,26
Swartz Bay,Tsawwassen,Queen of New Westminster,2017,7,2,14,0,2017,7,2,14,7,2017,7,2,15,30
Swartz Bay,Tsawwassen,Spirit of Vancouver Island,2017,7,2,15,0,2017,7,2,15,2,2017,7,2,16,28
Swartz Bay,Tsawwassen,Coastal Celebration,2017,7,2,16,0,2017,7,2,16,5,2017,7,2,17,34
Swartz Bay,Tsawwassen,Spirit of British Columbia,2017,7,2,17,0,2017,7,2,17,6,2017,7,2,18,34
Swartz Bay,Tsawwassen,Queen of New Westminster,2017,7,2,18,0,2017,7,2,18,2,2017,7,2,19,30
Swartz Bay,Tsawwassen,Spirit of Vancouver Island,2017,7,2,19,0,2017,7,2,19,5,2017,7,2,20,30
Swartz Bay,Tsawwassen,Spirit of British Columbia,2017,7,2,21,0,2017,7,2,21,0,2017,7,2,22,26
Tsawwassen,Swartz Bay,Spirit of British Columbia,2017,7,3,7,0,2017,7,3,7,0,2017,7,3,8,34
Tsawwassen,Swartz Bay,Queen of New Westminster,2017,7,3,8,0,2017,7,3,8,0,2017,7,3,9,32
Tsawwassen,Swartz Bay,Spirit of Vancouver Island,2017,7,3,9,0,2017,7,3,9,0,2017,7,3,10,30
Tsawwassen,Swartz Bay,Coastal Celebration,2017,7,3,10,0,2017,7,3,10,6,2017,7,3,11,34
Tsawwassen,Swartz Bay,Spirit of British Columbia,2017,7,3,11,0,2017,7,3,11,1,2017,7,3,12,32
Tsawwassen,Swartz Bay,Queen of New Westminster,2017,7,3,12,0,2017,7,3,12,5,2017,7,3,13,34
Tsawwassen,Swartz Bay,Spirit of Vancouver Island,2017,7,3,13,0,2017,7,3,13,4,2017,7,3,14,30
Tsawwassen,Swartz Bay,Coastal Celebration,2017,7,3,14,0,2017,7,3,14,8,2017,7,3,15,32
Tsawwassen,Swartz Bay,Spirit of British Columbia,2017,7,3,15,0,2017,7,3,15,2,2017,7,3,16,32
Tsawwassen,Swartz Bay,Queen of New Westminster,2017,7,3,16,0,2017,7,3,16,4,2017,7,3,17,26
Tsawwassen,Swartz Bay,Spirit of Vancouver Island,2017,7,3,17,0,2017,7,3,17,3,2017,7,3,18,36
Tsawwassen,Swartz Bay,Coastal Celebration,2017,7,3,18,0,2017,7,3,18,12,2017,7,3,19,32
Tsawwassen,Swartz Bay,Spirit of British Columbia,2017,7,3,19,0,2017,7,3,19,3,2017,7,3,20,28
Tsawwassen,Swartz Bay,Spirit of Vancouver Island,2017,7,3,21,0,2017,7,3,21,2,2017,7,3,22,30
Tsawwassen,Swartz Bay,Coastal Celebration,2017,7,3,22,0,2017,7,3,22,0,2017,7,3,23,35
Swartz Bay,Tsawwassen,Spirit of Vancouver Island,2017,7,3,7,0,2017,7,3,7,1,2017,7,3,8,26
Swartz Bay,Tsawwassen,Coastal Celebration,2017,7,3,8,0,2017,7,3,8,7,2017,7,3,9,32
Swartz Bay,Tsawwassen,Spirit of British Columbia,2017,7,3,9,0,2017,7,3,9,3,2017,7,3,10,28
Swartz Bay,Tsawwassen,Queen of New Westminster,2017,7,3,10,0,2017,7,3,10,9,2017,7,3,11,30
Swartz Bay,Tsawwassen,Spirit of Vancouver Island,2017,7,3,11,0,2017,7,3,11,5,2017,7,3,12,28
Swartz Bay,Tsawwassen,Coastal Celebration,2017,7,3,12,0,2017,7,3,12,12,2017,7,3,13,36
Swartz Bay,Tsawwassen,Spirit of British Columbia,2017,7,3,13,0,2017,7,3,13,6,2017,7,3,14,30
Swartz Bay,Tsawwassen,Queen of New Westminster,2017,7,3,14,0,2017,7,3,14,8,2017,7,3,15,32
Swartz Bay,Tsawwassen,Spirit of Vancouver Island,2017,7,3,15,0,2017,7,3,15,7,2017,7,3,16,32
Swartz Bay,Tsawwassen,Coastal Celebration,2017,7,3,16,0,2017,7,3,16,9,2017,7,3,17,40
Swartz Bay,Tsawwassen,Spirit of British Columbia,2017,7,3,17,0,2017,7,3,17,9,2017,7,3,18,36
Swartz Bay,Tsawwassen,Queen of New Westminster,2017,7,3,18,0,2017,7,3,18,1,2017,7,3,19,32
Swartz Bay,Tsawwassen,Spirit of Vancouver Island,2017,7,3,19,0,2017,7,3,19,10,2017,7,3,20,34
Swartz Bay,Tsawwassen,Coastal Celebration,2017,7,3,20,0,2017,7,3,20,2,2017,7,3,21,36
Swartz Bay,Tsawwassen,Spirit of British Columbia,2017,7,3,21,0,2017,7,3,20,59,2017,7,3,22,26
Swartz Bay,Tsawwassen,Queen of New Westminster,2017,7,3,22,0,2017,7,3,21,59,2017,7,3,23,24
Tsawwassen,Swartz Bay,Queen of New Westminster,2017,7,4,6,0,2017,7,4,6,3,2017,7,4,7,28
Tsawwassen,Swartz Bay,Spirit of British Columbia,2017,7,4,7,0,2017,7,4,6,59,2017,7,4,8,30
Tsawwassen,Swartz Bay,Coastal Celebration,2017,7,4,8,0,2017,7,4,8,2,2017,7,4,9,28
Tsawwassen,Swartz Bay,Spirit of Vancouver Island,2017,7,4,9,0,2017,7,4,9,5,2017,7,4,10,30
Tsawwassen,Swartz Bay,Queen of New Westminster,2017,7,4,10,0,2017,7,4,10,1,2017,7,4,11,30
Tsawwassen,Swartz Bay,Spirit of British Columbia,2017,7,4,11,0,2017,7,4,11,2,2017,7,4,12,40
Tsawwassen,Swartz Bay,Coastal Celebration,2017,7,4,12,0,2017,7,4,12,3,2017,7,4,13,30
Tsawwassen,Swartz Bay,Spirit of Vancouver Island,2017,7,4,13,0,2017,7,4,13,7,2017,7,4,14,34
Tsawwassen,Swartz Bay,Queen of New Westminster,2017,7,4,14,0,2017,7,4,14,4,2017,7,4,15,38
Tsawwassen,Swartz Bay,Spirit of British Columbia,2017,7,4,15,0,2017,7,4,15,1,2017,7,4,16,32
Tsawwassen,Swartz Bay,Coastal Celebration,2017,7,4,16,0,2017,7,4,16,22,2017,7,4,17,46
Tsawwassen,Swartz Bay,Spirit of Vancouver Island,2017,7,4,17,0,2017,7,4,17,0,2017,7,4,18,34
Tsawwassen,Swartz Bay,Queen of New Westminster,2017,7,4,18,0,2017,7,4,18,0,2017,7,4,19,28
Tsawwassen,Swartz Bay,Spirit of British Columbia,2017,7,4,19,0,2017,7,4,19,1,2017,7,4,20,36
Tsawwassen,Swartz Bay,Coastal Celebration,2017,7,4,20,0,2017,7,4,20,10,2017,7,4,21,36
Tsawwassen,Swartz Bay,Spirit of Vancouver Island,2017,7,4,21,0,2017,7,4,21,2,2017,7,4,22,28
Swartz Bay,Tsawwassen,Coastal Celebration,2017,7,4,6,0,2017,7,4,6,1,2017,7,4,7,34
Swartz Bay,Tsawwassen,Spirit of Vancouver Island,2017,7,4,7,0,2017,7,4,7,0,2017,7,4,8,28
Swartz Bay,Tsawwassen,Queen of New Westminster,2017,7,4,8,0,2017,7,4,8,0,2017,7,4,9,26
Swartz Bay,Tsawwassen,Spirit of British Columbia,2017,7,4,9,0,2017,7,4,9,0,2017,7,4,10,30
Swartz Bay,Tsawwassen,Coastal Celebration,2017,7,4,10,0,2017,7,4,10,2,2017,7,4,11,32
Swartz Bay,Tsawwassen,Spirit of Vancouver Island,2017,7,4,11,0,2017,7,4,11,3,2017,7,4,12,34
Swartz Bay,Tsawwassen,Queen of New Westminster,2017,7,4,12,0,2017,7,4,12,3,2017,7,4,13,26
Swartz Bay,Tsawwassen,Spirit of British Columbia,2017,7,4,13,0,2017,7,4,13,9,2017,7,4,14,32
Swartz Bay,Tsawwassen,Coastal Celebration,2017,7,4,14,0,2017,7,4,14,0,2017,7,4,15,48
Swartz Bay,Tsawwassen,Spirit of Vancouver Island,2017,7,4,15,0,2017,7,4,15,5,2017,7,4,16,32
Swartz Bay,Tsawwassen,Queen of New Westminster,2017,7,4,16,0,2017,7,4,16,8,2017,7,4,17,32
Swartz Bay,Tsawwassen,Spirit of British Columbia,2017,7,4,17,0,2017,7,4,17,0,2017,7,4,18,28
Swartz Bay,Tsawwassen,Coastal Celebration,2017,7,4,18,0,2017,7,4,18,12,2017,7,4,19,46
Swartz Bay,Tsawwassen,Spirit of Vancouver Island,2017,7,4,19,0,2017,7,4,19,0,2017,7,4,20,36
Swartz Bay,Tsawwassen,Queen of New Westminster,2017,7,4,20,0,2017,7,4,20,1,2017,7,4,21,30
Swartz Bay,Tsawwassen,Spirit of British Columbia,2017,7,4,21,0,2017,7,4,21,1,2017,7,4,22,28
Tsawwassen,Swartz Bay,Queen of New Westminster,2017,7,5,6,0,2017,7,5,6,2,2017,7,5,7,28
Tsawwassen,Swartz Bay,Spirit of British Columbia,2017,7,5,7,0,2017,7,5,6,59,2017,7,5,8,30
Tsawwassen,Swartz Bay,Coastal Celebration,2017,7,5,8,0,2017,7,5,8,6,2017,7,5,9,28
Tsawwassen,Swartz Bay,Spirit of Vancouver Island,2017,7,5,9,0,2017,7,5,9,0,2017,7,5,10,28
Tsawwassen,Swartz Bay,Queen of New Westminster,2017,7,5,10,0,2017,7,5,10,2,2017,7,5,11,32
Tsawwassen,Swartz Bay,Spirit of British Columbia,2017,7,5,11,0,2017,7,5,11,1,2017,7,5,12,34
Tsawwassen,Swartz Bay,Coastal Celebration,2017,7,5,12,0,2017,7,5,12,8,2017,7,5,13,40
Tsawwassen,Swartz Bay,Spirit of Vancouver Island,2017,7,5,13,0,2017,7,5,13,1,2017,7,5,14,32
Tsawwassen,Swartz Bay,Queen of New Westminster,2017,7,5,14,0,2017,7,5,14,0,2017,7,5,15,28
Tsawwassen,Swartz Bay,Spirit of British Columbia,2017,7,5,15,0,2017,7,5,15,0,2017,7,5,16,30
Tsawwassen,Swartz Bay,Coastal Celebration,2017,7,5,16,0,2017,7,5,16,8,2017,7,5,17,30
Tsawwassen,Swartz Bay,Spirit of Vancouver Island,2017,7,5,17,0,2017,7,5,17,2,2017,7,5,18,30
Tsawwassen,Swartz Bay,Queen of New Westminster,2017,7,5,18,0,2017,7,5,18,0,2017,7,5,19,30
Tsawwassen,Swartz Bay,Spirit of British Columbia,2017,7,5,19,0,2017,7,5,19,4,2017,7,5,20,36
Tsawwassen,Swartz Bay,Coastal Celebration,2017,7,5,20,0,2017,7,5,20,8,2017,7,5,21,28
Tsawwassen,Swartz Bay,Spirit of Vancouver Island,2017,7,5,21,0,2017,7,5,20,58,2017,7,5,22,28
Swartz Bay,Tsawwassen,Coastal Celebration,2017,7,5,6,0,2017,7,5,6,3,2017,7,5,7,36
Swartz Bay,Tsawwassen,Spirit of Vancouver Island,2017,7,5,7,0,2017,7,5,7,0,2017,7,5,8,26
Swartz Bay,Tsawwassen,Queen of New Westminster,2017,7,5,8,0,2017,7,5,8,1,2017,7,5,9,28
Swartz Bay,Tsawwassen,Spirit of British Columbia,2017,7,5,9,0,2017,7,5,9,0,2017,7,5,10,30
Swartz Bay,Tsawwassen,Coastal Celebration,2017,7,5,10,0,2017,7,5,10,1,2017,7,5,11,34
Swartz Bay,Tsawwassen,Spirit of Vancouver Island,2017,7,5,11,0,2017,7,5,11,0,2017,7,5,12,28
Swartz Bay,Tsawwassen,Queen of New Westminster,2017,7,5,12,0,2017,7,5,12,9,2017,7,5,13,28
Swartz Bay,Tsawwassen,Spirit of British Columbia,2017,7,5,13,0,2017,7,5,13,3,2017,7,5,14,30
Swartz Bay,Tsawwassen,Coastal Celebration,2017,7,5,14,0,2017,7,5,14,9,2017,7,5,15,40
Swartz Bay,Tsawwassen,Spirit of Vancouver Island,2017,7,5,15,0,2017,7,5,15,2,2017,7,5,16,32
Swartz Bay,Tsawwassen,Queen of New Westminster,2017,7,5,16,0,2017,7,5,16,1,2017,7,5,17,30
Swartz Bay,Tsawwassen,Spirit of British Columbia,2017,7,5,17,0,2017,7,5,16,59,2017,7,5,18,36
Swartz Bay,Tsawwassen,Coastal Celebration,2017,7,5,18,0,2017,7,5,18,1,2017,7,5,19,38
Swartz Bay,Tsawwassen,Spirit of Vancouver Island,2017,7,5,19,0,2017,7,5,18,59,2017,7,5,20,32
Swartz Bay,Tsawwassen,Queen of New Westminster,2017,7,5,20,0,2017,7,5,20,0,2017,7,5,21,28
Swartz Bay,Tsawwassen,Spirit of British Columbia,2017,7,5,21,0,2017,7,5,20,58,2017,7,5,22,26
Tsawwassen,Swartz Bay,Queen of New Westminster,2017,7,6,6,0,2017,7,6,6,4,2017,7,6,7,28
Tsawwassen,Swartz Bay,Spirit of British Columbia,2017,7,6,7,0,2017,7,6,7,0,2017,7,6,8,34
Tsawwassen,Swartz Bay,Coastal Celebration,2017,7,6,8,0,2017,7,6,8,2,2017,7,6,9,30
Tsawwassen,Swartz Bay,Spirit of Vancouver Island,2017,7,6,9,0,2017,7,6,9,2,2017,7,6,10,30
Tsawwassen,Swartz Bay,Queen of New Westminster,2017,7,6,10,0,2017,7,6,10,2,2017,7,6,11,30
Tsawwassen,Swartz Bay,Spirit of British Columbia,2017,7,6,11,0,2017,7,6,11,11,2017,7,6,12,42
Tsawwassen,Swartz Bay,Coastal Celebration,2017,7,6,12,0,2017,7,6,12,8,2017,7,6,13,34
Tsawwassen,Swartz Bay,Spirit of Vancouver Island,2017,7,6,13,0,2017,7,6,13,5,2017,7,6,14,36
Tsawwassen,Swartz Bay,Queen of New Westminster,2017,7,6,14,0,2017,7,6,14,1,2017,7,6,15,33
Tsawwassen,Swartz Bay,Spirit of British Columbia,2017,7,6,15,0,2017,7,6,15,11,2017,7,6,16,42
Tsawwassen,Swartz Bay,Coastal Celebration,2017,7,6,16,0,2017,7,6,16,9,2017,7,6,17,34
Tsawwassen,Swartz Bay,Spirit of Vancouver Island,2017,7,6,17,0,2017,7,6,16,59,2017,7,6,18,28
Tsawwassen,Swartz Bay,Spirit of British Columbia,2017,7,6,19,0,2017,7,6,19,5,2017,7,6,20,32
Tsawwassen,Swartz Bay,Coastal Celebration,2017,7,6,20,0,2017,7,6,20,3,2017,7,6,21,26
Tsawwassen,Swartz Bay,Spirit of Vancouver Island,2017,7,6,21,0,2017,7,6,21,1,2017,7,6,22,30
Swartz Bay,Tsawwassen,Coastal Celebration,2017,7,6,6,0,2017,7,6,6,4,2017,7,6,7,34
Swartz Bay,Tsawwassen,Spirit of Vancouver Island,2017,7,6,7,0,2017,7,6,7,3,2017,7,6,8,34
Swartz Bay,Tsawwassen,Queen of New Westminster,2017,7,6,8,0,2017,7,6,8,5,2017,7,6,9,32
Swartz Bay,Tsawwassen,Spirit of British Columbia,2017,7,6,9,0,2017,7,6,9,11,2017,7,6,10,36
Swartz Bay,Tsawwassen,Coastal Celebration,2017,7,6,10,0,2017,7,6,10,0,2017,7,6,11,30
Swartz Bay,Tsawwassen,Spirit of Vancouver Island,2017,7,6,11,0,2017,7,6,11,1,2017,7,6,12,34
Swartz Bay,Tsawwassen,Queen of New Westminster,2017,7,6,12,0,2017,7,6,12,1,2017,7,6,13,28
Swartz Bay,Tsawwassen,Spirit of British Columbia,2017,7,6,13,0,2017,7,6,13,12,2017,7,6,14,40
Swartz Bay,Tsawwassen,Coastal Celebration,2017,7,6,14,0,2017,7,6,14,5,2017,7,6,15,42
Swartz Bay,Tsawwassen,Spirit of Vancouver Island,2017,7,6,15,0,2017,7,6,15,5,2017,7,6,16,28
Swartz Bay,Tsawwassen,Queen of New Westminster,2017,7,6,16,0,2017,7,6,16,2,2017,7,6,17,34
Swartz Bay,Tsawwassen,Spirit of British Columbia,2017,7,6,17,0,2017,7,6,17,11,2017,7,6,18,38
Swartz Bay,Tsawwassen,Coastal Celebration,2017,7,6,18,0,2017,7,6,18,6,2017,7,6,19,36
Swartz Bay,Tsawwassen,Spirit of Vancouver Island,2017,7,6,19,0,2017,7,6,19,3,2017,7,6,20,32
Swartz Bay,Tsawwassen,Queen of New Westminster,2017,7,6,20,0,2017,7,6,20,2,2017,7,6,21,28
Swartz Bay,Tsawwassen,Spirit of British Columbia,2017,7,6,21,0,2017,7,6,20,59,2017,7,6,22,27
Tsawwassen,Swartz Bay,Spirit of British Columbia,2017,7,7,7,0,2017,7,7,7,1,2017,7,7,8,32
Tsawwassen,Swartz Bay,Queen of New Westminster,2017,7,7,8,0,2017,7,7,8,3,2017,7,7,9,32
Tsawwassen,Swartz Bay,Spirit of Vancouver Island,2017,7,7,9,0,2017,7,7,9,1,2017,7,7,10,30
Tsawwassen,Swartz Bay,Coastal Celebration,2017,7,7,10,0,2017,7,7,10,9,2017,7,7,11,40
Tsawwassen,Swartz Bay,Spirit of British Columbia,2017,7,7,11,0,2017,7,7,11,4,2017,7,7,12,38
